year,month,dom,hour,min,sec,kp,infi,algeo,apgeo,algsm,apgsm,algse,apgse,tag,rig,zen,azi
2018,5,4,18,0,0,1,2,6.378,218.6,-7.426,310,9.363,310.2,MTWA,1050,0,0
2018,5,4,18,0,0,1,2,44.17,12.51,50.23,86.9,28.41,87.75,MTWA,1054,0,0
2018,5,4,18,0,0,1,2,18.71,149.5,21.81,247,41.53,241.1,MTWA,1059,0,0
2018,5,4,18,0,0,1,2,66.1,234,49.94,332.7,55.1,1.069,MTWA,1063,0,0
2018,5,4,18,0,0,1,2,27.04,188.6,18.97,286.4,39.74,290.3,MTWA,1067,0,0
2018,5,4,18,0,0,1,2,-41.19,151.9,-36.06,230.5,-18.3,237.2,MTWA,1071,0,0
2018,5,4,18,0,0,1,2,-55.88,220.7,-68.28,290.1,-47.14,280.8,MTWA,1076,0,0
2018,5,4,18,0,0,1,2,-10.33,86.36,5.965,177.7,4.684,175.6,MTWA,1080,0,0
2018,5,4,18,0,0,1,0,-49.3,175.9,-50.15,247.4,-29.49,253.6,MTWA,1084,0,0
2018,5,4,18,0,0,1,0,-20.09,190.6,-26.98,275.4,-5.217,274.8,MTWA,1089,0,0
2018,5,4,18,0,0,1,2,-31.93,243,-48.32,331.6,-35.13,315.7,MTWA,1093,0,0
2018,5,4,18,0,0,1,2,-57.61,357.4,-50.42,110,-69.74,129.1,MTWA,1097,0,0
2018,5,4,18,0,0,1,2,34.61,162.7,33.06,265.5,54.81,263.4,MTWA,1101,0,0
2018,5,4,18,0,0,1,2,41.73,170.3,37.62,275.4,59.32,278.4,MTWA,1106,0,0
2018,5,4,18,0,0,1,2,-63.29,31.83,-49.32,137.5,-60.18,165.3,MTWA,1110,0,0
2018,5,4,18,0,0,1,2,46.54,199.6,35.27,301.9,52.54,315.2,MTWA,1114,0,0
2018,5,4,18,0,0,1,2,20.19,201.6,9.35,296.4,28.65,300,MTWA,1119,0,0
2018,5,4,18,0,0,1,2,39.44,161.9,37.81,266.8,59.61,265,MTWA,1123,0,0
2018,5,4,18,0,0,1,2,-54.25,170.4,-53,238.9,-33.32,248.1,MTWA,1127,0,0
2018,5,4,18,0,0,1,0,-3.279,142.7,2.612,234,20.08,231.3,MTWA,1131,0,0
2018,5,4,18,0,0,1,2,-15.86,87.43,0.3703,178.3,-0.2587,178.3,MTWA,1136,0,0
2018,5,4,18,0,0,1,0,-61.47,159.8,-56.45,224.2,-39.05,239.3,MTWA,1140,0,0
2018,5,4,18,0,0,1,2,-17.33,233,-32.9,321.5,-18.05,313.8,MTWA,1144,0,0
2018,5,4,18,0,0,1,2,20.77,195,11.39,290.5,31.67,293.8,MTWA,1149,0,0
2018,5,4,18,0,0,1,0,-54.1,198.9,-60.99,265.9,-39.17,267.4,MTWA,1153,0,0
2018,5,4,18,0,0,1,2,-4.331,136.2,3.307,227.5,19.12,224.4,MTWA,1157,0,0
2018,5,4,18,0,0,1,2,-39.87,151.1,-34.6,230.3,-16.92,236.7,MTWA,1161,0,0
2018,5,4,18,0,0,1,2,-49.57,308.1,-56.72,60.09,-72.35,25.47,MTWA,1166,0,0
2018,5,4,18,0,0,1,2,25.13,276.2,9.615,5.707,6.789,8.87,MTWA,1170,0,0
2018,5,4,18,0,0,1,0,-30.01,139.2,-22.22,223.3,-6.561,227.3,MTWA,1174,0,0
2018,5,4,18,0,0,1,2,26.06,305.9,15.34,32.49,3.011,35.44,MTWA,1179,0,0
2018,5,4,18,0,0,1,2,-42.29,52.69,-26.41,147.8,-36.17,159.9,MTWA,1183,0,0
2018,5,4,18,0,0,1,2,56.34,352.6,55.42,59,35.67,68.9,MTWA,1187,0,0
2018,5,4,18,0,0,1,2,-20.66,157.6,-18.18,243.2,1.492,244.6,MTWA,1191,0,0
2018,5,4,18,0,0,1,2,-59.11,131.5,-48.11,205.5,-35.72,222,MTWA,1196,0,0
2018,5,4,18,0,0,1,0,-35.8,153.1,-31.31,233.8,-13.05,238.8,MTWA,1200,0,0
2018,5,4,18,0,0,1,2,-51.82,137.9,-42.61,214,-28.36,226.1,MTWA,1204,0,0
2018,5,4,18,0,0,1,2,-76.67,182.5,-72.54,211,-55.88,242.7,MTWA,1209,0,0
2018,5,4,18,0,0,1,0,6.69,210.5,-5.66,302,12.85,302.8,MTWA,1213,0,0
2018,5,4,18,0,0,1,0,-38.05,162,-35.87,240.9,-16.28,245.7,MTWA,1217,0,0
2018,5,4,18,0,0,1,0,-45.84,294.3,-56.91,41.78,-65.92,3.629,MTWA,1221,0,0
2018,5,4,18,0,0,1,0,-71.63,191.7,-72.24,229.6,-52.89,250.9,MTWA,1226,0,0
2018,5,4,18,0,0,1,2,-0.2196,99.28,14.75,191.7,18.03,185.3,MTWA,1230,0,0
2018,5,4,18,0,0,1,2,-1.608,239.9,-17.88,330.7,-6.42,326.6,MTWA,1234,0,0
2018,5,4,18,0,0,1,2,12.22,285.9,-1.936,16.55,-7.908,14.72,MTWA,1239,0,0
2018,5,4,18,0,0,1,2,-53.66,134.7,-43.65,210.6,-30.22,223.9,MTWA,1243,0,0
2018,5,4,18,0,0,1,2,-74.42,203.6,-76.57,226.2,-57.18,252.7,MTWA,1247,0,0
2018,5,4,18,0,0,1,2,29.5,242.8,13.01,335.4,21.09,341.7,MTWA,1251,0,0
2018,5,4,18,0,0,1,2,3.19,271.7,-12.66,3.584,-13.08,358.5,MTWA,1256,0,0
2018,5,4,18,0,0,1,2,11.6,301.1,0.2102,31.23,-10.94,29.43,MTWA,1260,0,0
2018,5,4,18,0,0,1,2,-43.53,256.2,-60.22,349.1,-50.42,320,MTWA,1264,0,0
2018,5,4,18,0,0,1,2,-23.35,213.4,-35.66,298.4,-15.98,293.7,MTWA,1268,0,0
