year,month,dom,hour,min,sec,kp,infi,algeo,apgeo,algsm,apgsm,algse,apgse,tag,rig,zen,azi
2018,5,4,18,0,0,1,1,-21.77,34.62,-8.391,128.8,-24.97,133.2,NAIN,1050,0,0
2018,5,4,18,0,0,1,1,-21.73,34.49,-8.382,128.7,-24.99,133,NAIN,1054,0,0
2018,5,4,18,0,0,1,1,-21.68,34.35,-8.352,128.6,-25,132.9,NAIN,1059,0,0
2018,5,4,18,0,0,1,1,-21.64,34.07,-8.363,128.3,-25.08,132.6,NAIN,1063,0,0
2018,5,4,18,0,0,1,1,-21.55,33.93,-8.292,128.1,-25.04,132.4,NAIN,1067,0,0
2018,5,4,18,0,0,1,1,-21.43,33.79,-8.205,128,-25,132.3,NAIN,1071,0,0
2018,5,4,18,0,0,1,1,-21.31,33.65,-8.103,127.8,-24.94,132.1,NAIN,1076,0,0
2018,5,4,18,0,0,1,1,-21.2,33.36,-8.048,127.5,-24.96,131.7,NAIN,1080,0,0
2018,5,4,18,0,0,1,1,-21.05,33.2,-7.929,127.4,-24.88,131.5,NAIN,1084,0,0
2018,5,4,18,0,0,1,1,-20.9,33.05,-7.807,127.2,-24.81,131.3,NAIN,1089,0,0
2018,5,4,18,0,0,1,1,-20.74,32.88,-7.686,127,-24.73,131.1,NAIN,1093,0,0
2018,5,4,18,0,0,1,1,-20.59,32.71,-7.569,126.8,-24.67,130.8,NAIN,1097,0,0
2018,5,4,18,0,0,1,1,-20.45,32.53,-7.461,126.6,-24.61,130.6,NAIN,1101,0,0
2018,5,4,18,0,0,1,1,-20.32,32.34,-7.363,126.4,-24.56,130.4,NAIN,1106,0,0
2018,5,4,18,0,0,1,1,-20.2,32.14,-7.278,126.2,-24.53,130.1,NAIN,1110,0,0
2018,5,4,18,0,0,1,1,-20.07,32.09,-7.159,126.2,-24.43,130,NAIN,1114,0,0
2018,5,4,18,0,0,1,1,-19.97,31.88,-7.106,125.9,-24.43,129.8,NAIN,1119,0,0
2018,5,4,18,0,0,1,1,-19.9,31.66,-7.071,125.7,-24.45,129.5,NAIN,1123,0,0
2018,5,4,18,0,0,1,1,-19.84,31.45,-7.052,125.5,-24.48,129.3,NAIN,1127,0,0
2018,5,4,18,0,0,1,1,-19.78,31.38,-7.003,125.4,-24.45,129.2,NAIN,1131,0,0
2018,5,4,18,0,0,1,1,-19.75,31.16,-7.017,125.2,-24.51,129,NAIN,1136,0,0
2018,5,4,18,0,0,1,1,-19.74,30.94,-7.045,125,-24.59,128.8,NAIN,1140,0,0
2018,5,4,18,0,0,1,1,-19.72,30.88,-7.039,125,-24.6,128.7,NAIN,1144,0,0
2018,5,4,18,0,0,1,1,-19.73,30.67,-7.09,124.8,-24.69,128.5,NAIN,1149,0,0
2018,5,4,18,0,0,1,1,-19.75,30.47,-7.148,124.6,-24.79,128.4,NAIN,1153,0,0
2018,5,4,18,0,0,1,1,-19.76,30.43,-7.166,124.5,-24.82,128.3,NAIN,1157,0,0
2018,5,4,18,0,0,1,1,-19.8,30.24,-7.232,124.4,-24.92,128.2,NAIN,1161,0,0
2018,5,4,18,0,0,1,1,-19.83,30.06,-7.298,124.2,-25.02,128,NAIN,1166,0,0
2018,5,4,18,0,0,1,1,-19.86,29.9,-7.361,124.1,-25.11,127.9,NAIN,1170,0,0
2018,5,4,18,0,0,1,1,-19.88,29.9,-7.374,124.1,-25.13,127.9,NAIN,1174,0,0
2018,5,4,18,0,0,1,1,-19.9,29.76,-7.425,124,-25.21,127.8,NAIN,1179,0,0
2018,5,4,18,0,0,1,1,-19.92,29.62,-7.466,123.8,-25.27,127.6,NAIN,1183,0,0
2018,5,4,18,0,0,1,1,-19.92,29.5,-7.496,123.7,-25.33,127.5,NAIN,1187,0,0
2018,5,4,18,0,0,1,1,-19.92,29.39,-7.513,123.6,-25.37,127.4,NAIN,1191,0,0
2018,5,4,18,0,0,1,1,-19.9,29.29,-7.516,123.5,-25.39,127.3,NAIN,1196,0,0
2018,5,4,18,0,0,1,1,-19.89,29.05,-7.548,123.3,-25.47,127.1,NAIN,1200,0,0
2018,5,4,18,0,0,1,1,-19.85,28.97,-7.52,123.2,-25.47,127,NAIN,1204,0,0
2018,5,4,18,0,0,1,1,-19.79,28.89,-7.476,123.1,-25.44,126.9,NAIN,1209,0,0
2018,5,4,18,0,0,1,1,-19.71,28.81,-7.417,123,-25.4,126.8,NAIN,1213,0,0
2018,5,4,18,0,0,1,1,-19.64,28.6,-7.385,122.8,-25.42,126.5,NAIN,1217,0,0
2018,5,4,18,0,0,1,1,-19.53,28.53,-7.296,122.7,-25.35,126.4,NAIN,1221,0,0
2018,5,4,18,0,0,1,1,-19.41,28.47,-7.194,122.7,-25.27,126.3,NAIN,1226,0,0
2018,5,4,18,0,0,1,1,-19.29,28.4,-7.08,122.6,-25.18,126.2,NAIN,1230,0,0
2018,5,4,18,0,0,1,1,-19.16,28.19,-6.995,122.3,-25.15,125.9,NAIN,1234,0,0
2018,5,4,18,0,0,1,1,-19.01,28.13,-6.861,122.3,-25.04,125.8,NAIN,1239,0,0
2018,5,4,18,0,0,1,1,-18.85,28.06,-6.72,122.2,-24.92,125.7,NAIN,1243,0,0
2018,5,4,18,0,0,1,1,-18.7,27.84,-6.613,121.9,-24.87,125.4,NAIN,1247,0,0
2018,5,4,18,0,0,1,1,-18.55,27.47,-6.54,121.5,-24.88,125,NAIN,1251,0,0
2018,5,4,18,0,0,1,1,-18.4,27.09,-6.467,121.2,-24.89,124.5,NAIN,1256,0,0
2018,5,4,18,0,0,1,1,-18.25,26.7,-6.396,120.8,-24.9,124.1,NAIN,1260,0,0
2018,5,4,18,0,0,1,1,-18.1,26.31,-6.328,120.4,-24.92,123.6,NAIN,1264,0,0
2018,5,4,18,0,0,1,1,-17.95,25.89,-6.266,119.9,-24.94,123.2,NAIN,1268,0,0
2018,5,4,18,0,0,1,1,-17.81,25.47,-6.213,119.5,-24.98,122.7,NAIN,1273,0,0
2018,5,4,18,0,0,1,1,-17.67,25.04,-6.17,119.1,-25.02,122.2,NAIN,1277,0,0
2018,5,4,18,0,0,1,1,-17.53,24.75,-6.094,118.8,-25,121.9,NAIN,1281,0,0
2018,5,4,18,0,0,1,1,-17.41,24.29,-6.075,118.3,-25.08,121.4,NAIN,1286,0,0
2018,5,4,18,0,0,1,1,-17.3,23.99,-6.024,118,-25.09,121.1,NAIN,1290,0,0
2018,5,4,18,0,0,1,1,-17.19,23.68,-5.986,117.7,-25.11,120.7,NAIN,1294,0,0
2018,5,4,18,0,0,1,1,-17.11,23.19,-6.011,117.2,-25.22,120.2,NAIN,1298,0,0
2018,5,4,18,0,0,1,1,-17.03,22.86,-6.002,116.9,-25.27,119.9,NAIN,1303,0,0
2018,5,4,18,0,0,1,1,-16.95,22.7,-5.958,116.7,-25.26,119.7,NAIN,1307,0,0
2018,5,4,18,0,0,1,1,-16.9,22.37,-5.977,116.4,-25.34,119.3,NAIN,1311,0,0
2018,5,4,18,0,0,1,1,-16.86,22.03,-6.01,116.1,-25.43,119,NAIN,1316,0,0
2018,5,4,18,0,0,1,1,-16.83,21.69,-6.054,115.8,-25.53,118.6,NAIN,1320,0,0
2018,5,4,18,0,0,1,1,-16.8,21.53,-6.059,115.6,-25.57,118.5,NAIN,1324,0,0
2018,5,4,18,0,0,1,1,-16.79,21.19,-6.125,115.3,-25.69,118.1,NAIN,1328,0,0
2018,5,4,18,0,0,1,1,-16.78,21.03,-6.148,115.1,-25.74,118,NAIN,1333,0,0
2018,5,4,18,0,0,1,1,-16.77,20.87,-6.178,115,-25.79,117.8,NAIN,1337,0,0
2018,5,4,18,0,0,1,1,-16.79,20.54,-6.266,114.7,-25.93,117.5,NAIN,1341,0,0
2018,5,4,18,0,0,1,1,-16.79,20.39,-6.306,114.5,-26,117.3,NAIN,1346,0,0
2018,5,4,18,0,0,1,1,-16.81,20.25,-6.348,114.4,-26.06,117.2,NAIN,1350,0,0
2018,5,4,18,0,0,1,1,-16.82,20.11,-6.391,114.3,-26.12,117.1,NAIN,1354,0,0
2018,5,4,18,0,0,1,1,-16.83,19.98,-6.434,114.2,-26.19,117,NAIN,1358,0,0
2018,5,4,18,0,0,1,1,-16.85,19.86,-6.475,114,-26.25,116.8,NAIN,1363,0,0
2018,5,4,18,0,0,1,1,-16.87,19.56,-6.567,113.8,-26.38,116.6,NAIN,1367,0,0
2018,5,4,18,0,0,1,1,-16.88,19.45,-6.601,113.7,-26.43,116.5,NAIN,1371,0,0
2018,5,4,18,0,0,1,1,-16.89,19.35,-6.628,113.6,-26.47,116.4,NAIN,1376,0,0
2018,5,4,18,0,0,1,1,-16.89,19.25,-6.649,113.5,-26.51,116.3,NAIN,1380,0,0
2018,5,4,18,0,0,1,1,-16.88,19.17,-6.662,113.4,-26.54,116.2,NAIN,1384,0,0
2018,5,4,18,0,0,1,1,-16.87,19.09,-6.667,113.3,-26.55,116.1,NAIN,1388,0,0
2018,5,4,18,0,0,1,1,-16.86,18.83,-6.717,113.1,-26.64,115.8,NAIN,1393,0,0
2018,5,4,18,0,0,1,1,-16.83,18.77,-6.702,113,-26.64,115.8,NAIN,1397,0,0
2018,5,4,18,0,0,1,1,-16.79,18.71,-6.676,113,-26.62,115.7,NAIN,1401,0,0
